name,code,Dispositivos conectados a internet,Ancho de banda,Dispositivos para docencia,Capacidad de los dispositivos,Software adecuado,Técnica y capacidades pedagógicas del profesorado,Tiempo para preparar integrar TIC,Recursos para aprender a usar dispositivos TIC,Disponible plataforma de elearning,Incentivos para integrar  dispositivos TIC ,Personal técnico cualificado
Bulgaria,BGR,1.5767195767195767,1.9267015706806283,1.452127659574468,1.694736842105263,1.7696335078534031,1.9263157894736842,1.6963350785340314,1.8894736842105264,1.3368421052631578,2.1210526315789475,1.7958115183246073
Canada,CAN,2.0594059405940595,1.9950248756218905,1.9386733416770963,2.026022304832714,2.032218091697646,1.724009900990099,1.683168316831683,1.7788819875776398,1.6206467661691542,1.224287484510533,1.6017369727047146
Chile,CHL,1.8362068965517242,1.6939655172413792,1.7056277056277056,1.668103448275862,1.4956896551724137,1.683982683982684,1.7629310344827587,1.7478260869565216,1.3246753246753247,0.9653679653679653,1.853448275862069
Chinese Taipei,TWN,2.235294117647059,2.122994652406417,2.0802139037433154,2.1016042780748663,1.967914438502674,1.839572192513369,1.7914438502673797,1.967914438502674,1.9518716577540107,2.406417112299465,1.9625668449197862
Colombia,COL,1.0530612244897959,0.9306122448979591,1.2448979591836735,1.073469387755102,1.110204081632653,1.6326530612244898,1.8081632653061224,1.5020408163265306,1.2489795918367348,0.9673469387755103,1.0408163265306123
Costa Rica,CRI,1.2878048780487805,1.048780487804878,1.170731707317073,1.3658536585365855,1.2585365853658537,1.5951219512195123,1.4146341463414633,1.4341463414634146,0.9170731707317074,0.9317073170731708,1.2682926829268293
Croatia,HRV,1.977900552486188,1.867403314917127,1.729281767955801,1.6077348066298343,1.591160220994475,1.65,1.8950276243093922,1.850828729281768,1.4972375690607735,2.276243093922652,1.3480662983425415
Czech Republic,CZE,1.8950617283950617,1.8676923076923078,1.6820987654320987,1.5339506172839505,1.7222222222222223,1.676923076923077,1.6215384615384616,1.9938271604938271,1.5590062111801242,1.882716049382716,1.4197530864197532
Denmark,DNK,2.202205882352941,2.2830882352941178,2.0407407407407407,2.1213235294117645,2.110294117647059,1.8676470588235294,1.6985294117647058,1.937269372693727,2.176470588235294,2.077490774907749,1.963235294117647
Dominican Republic,DOM,1.3474178403755868,1.2757009345794392,1.3130841121495327,1.5188679245283019,1.3192488262910798,1.669811320754717,1.8169014084507042,1.7616822429906542,1.3395348837209302,2.3069767441860467,1.4883720930232558
Estonia,EST,2.0304347826086957,1.9739130434782608,1.8,1.9043478260869566,1.9391304347826086,1.6695652173913043,1.5260869565217392,1.8565217391304347,1.7043478260869565,1.6478260869565218,1.6695652173913043
Finland,FIN,1.5586854460093897,1.9107981220657277,1.4386792452830188,1.9056603773584906,1.8341232227488151,1.516431924882629,1.4272300469483568,1.6854460093896713,1.8967136150234742,1.3679245283018868,1.704225352112676
France,FRA,1.9205607476635513,1.5233644859813085,1.794392523364486,1.766355140186916,1.8738317757009346,1.5514018691588785,1.9103773584905661,1.7887323943661972,1.259433962264151,1.807511737089202,1.397196261682243
Georgia,GEO,1.7106918238993711,1.7547169811320755,1.5331230283911672,1.8522012578616351,2.10062893081761,1.8081761006289307,2.059748427672956,1.990566037735849,1.559748427672956,1.820754716981132,1.9842767295597483
Germany,DEU,1.3157894736842106,0.9578947368421052,1.0740740740740742,1.5368421052631578,1.6063829787234043,1.5947368421052632,1.3829787234042554,1.3421052631578947,1.0473684210526315,1.343915343915344,1.1058201058201058
Greece,GRC,1.5319148936170213,1.7100840336134453,1.3008474576271187,1.3949579831932772,1.4533898305084745,1.729957805907173,1.641350210970464,1.3865546218487395,1.195744680851064,1.1476793248945147,0.5485232067510548
Hong Kong,HKG,1.9115044247787611,2.107142857142857,1.6964285714285714,1.8141592920353982,1.761061946902655,1.5132743362831858,1.238938053097345,1.7433628318584071,1.7433628318584071,1.176991150442478,1.7168141592920354
Hungary,HUN,1.6434782608695653,1.530701754385965,1.48471615720524,1.4410480349344978,1.7336244541484715,1.5807860262008733,1.244541484716157,1.2314410480349345,1.244541484716157,1.969298245614035,1.7739130434782608
Iceland,ISL,1.9,1.9923076923076923,1.7769230769230768,2.0615384615384613,1.9538461538461538,1.4538461538461538,1.6171875,1.6589147286821706,1.4076923076923078,2.1538461538461537,1.8692307692307693
Indonesia,IDN,1.9734513274336283,1.982248520710059,1.831360946745562,1.8525073746312684,1.7964601769911503,2.011764705882353,1.9174041297935103,1.8205882352941176,1.71976401179941,1.5532544378698225,1.8427299703264095
Ireland,IRL,1.544871794871795,1.9483870967741936,1.4166666666666667,1.8,1.7756410256410255,1.4038461538461537,1.4487179487179487,1.4166666666666667,1.4166666666666667,1.2307692307692308,0.782051282051282
Israel,ISR,1.4311377245508983,1.3511904761904763,1.2857142857142858,1.4497041420118344,1.494047619047619,1.5739644970414202,1.4911242603550297,1.5389221556886228,1.778443113772455,1.029940119760479,1.608187134502924
Italy,ITA,1.8598848368522074,1.553639846743295,1.7140115163147793,1.7346153846153847,1.7634615384615384,1.489443378119002,1.6506717850287909,1.7896749521988529,1.428294573643411,1.353846153846154,1.3115384615384615
Japan,JPN,1.3224043715846994,1.3825136612021858,1.1256830601092895,1.4480874316939891,1.366120218579235,1.2568306010928962,0.9234972677595629,0.9672131147540983,1.0,1.4207650273224044,0.7103825136612022
Jordan,JOR,1.4455128205128205,1.4239482200647249,1.2362459546925566,1.2679738562091503,1.5129870129870129,1.6634304207119741,1.3300970873786409,1.3322475570032573,1.3365695792880259,1.1503267973856208,1.6193548387096774
Kazakhstan,KAZ,1.7012987012987013,1.698051948051948,1.5827922077922079,1.4870129870129871,1.775974025974026,2.0487012987012987,1.9610389610389611,1.8896103896103895,1.724025974025974,2.042207792207792,1.9334415584415585
Korea,KOR,2.037433155080214,2.118279569892473,1.8502673796791445,1.9946524064171123,1.86096256684492,2.037433155080214,1.5989304812834224,1.553763440860215,1.6203208556149733,1.0212765957446808,1.320855614973262
Kosovo,KSV,0.8719211822660099,1.0696517412935322,0.8059701492537313,0.8275862068965517,0.7960199004975125,1.7064676616915422,1.900990099009901,1.645320197044335,0.8606965174129353,1.504950495049505,1.816831683168317
Latvia,LVA,2.053872053872054,2.037037037037037,1.6296296296296295,1.7441077441077442,1.9324324324324325,1.848993288590604,1.2416107382550337,1.5671140939597314,1.5317725752508362,1.7147651006711409,1.32996632996633
Lebanon,LBN,1.3693379790940767,1.3139931740614335,1.4452296819787986,1.546075085324232,1.4673539518900343,1.6140939597315436,1.5324232081911262,1.5802047781569966,1.0742049469964665,1.4573378839590443,1.505226480836237
Lithuania,LTU,2.314917127071823,2.4198895027624308,1.9337016574585635,1.9307479224376731,1.8204419889502763,2.069060773480663,1.9834254143646408,2.1712707182320443,1.8066298342541436,2.5110497237569063,1.9530386740331491
Luxembourg,LUX,2.0697674418604652,2.0,1.7619047619047619,2.0714285714285716,2.1219512195121952,1.5952380952380953,1.7560975609756098,1.7142857142857142,1.170731707317073,2.097560975609756,1.3571428571428572
Macao,MAC,2.066666666666667,1.7777777777777777,1.9555555555555555,1.8,1.8888888888888888,1.6444444444444444,1.8222222222222222,1.9111111111111112,1.7555555555555555,2.2,2.2222222222222223
Malaysia,MYS,1.382198952879581,1.225130890052356,1.219895287958115,1.287958115183246,1.450261780104712,1.7853403141361257,1.486910994764398,1.7591623036649215,1.7382198952879582,1.3403141361256545,1.2303664921465969
Malta,MLT,2.0,1.8333333333333333,1.9375,2.0816326530612246,1.9183673469387754,1.653061224489796,1.816326530612245,1.7551020408163265,1.7551020408163265,1.4081632653061225,1.7346938775510203
Mexico,MEX,1.1654929577464788,1.0530035335689045,1.1130742049469964,1.1549295774647887,1.25,1.954225352112676,1.756183745583039,1.5851063829787233,1.1091549295774648,0.7570422535211268,1.3485915492957747
Moldova,MDA,1.548936170212766,1.6553191489361703,1.3940677966101696,1.4,0.9574468085106383,1.7319148936170212,1.5932203389830508,1.6271186440677967,1.2808510638297872,1.923728813559322,1.4661016949152543
Montenegro,MNE,1.5081967213114753,1.8688524590163935,1.4098360655737705,1.278688524590164,1.540983606557377,1.8852459016393444,2.2459016393442623,1.8524590163934427,1.7704918032786885,1.9672131147540983,2.0
Morocco,MAR,1.0459770114942528,0.9655172413793104,0.8654970760233918,0.9657142857142857,0.9828571428571429,1.3793103448275863,1.5057471264367817,1.3160919540229885,0.9085714285714286,1.6436781609195403,1.0285714285714285
Moscow Region (RUS),,2.0491803278688523,2.3114754098360657,1.819672131147541,1.5901639344262295,1.7868852459016393,2.19672131147541,1.9344262295081966,2.0327868852459017,1.5245901639344261,2.0163934426229506,2.180327868852459
Netherlands,NLD,2.0340136054421767,2.1496598639455784,1.9319727891156462,2.061224489795918,2.0,1.5205479452054795,1.7210884353741496,1.7891156462585034,1.4421768707482994,2.0816326530612246,1.9251700680272108
New Zealand,NZL,2.1366120218579234,2.1311475409836067,1.9344262295081966,2.180327868852459,2.169398907103825,1.6373626373626373,1.3846153846153846,1.8406593406593406,1.8961748633879782,1.284153005464481,1.8907103825136613
North Macedonia,MKD,1.3980582524271845,1.2596153846153846,1.2912621359223302,1.3300970873786409,1.3300970873786409,1.9223300970873787,1.9519230769230769,1.6310679611650485,1.0792079207920793,1.9509803921568627,1.6346153846153846
Norway,NOR,2.1152263374485596,2.087136929460581,1.9958677685950412,2.094650205761317,2.02880658436214,1.8148148148148149,1.8518518518518519,1.8436213991769548,1.9256198347107438,1.8559670781893005,2.234567901234568
Panama,PAN,1.2592592592592593,1.0158730158730158,1.168421052631579,1.164021164021164,1.105263157894737,1.8157894736842106,1.8789473684210527,1.7789473684210526,0.9787234042553191,1.0904255319148937,1.3631578947368421
Peru,PER,1.0619469026548674,0.908284023668639,1.0798816568047338,1.0917159763313609,1.0917159763313609,1.5887573964497042,1.6390532544378698,1.4644970414201184,0.9260355029585798,0.8757396449704142,1.2751479289940828
Philippines,PHL,1.3475935828877006,1.2620320855614973,1.3850267379679144,1.4623655913978495,1.4438502673796791,2.0748663101604277,2.0320855614973263,2.0106951871657754,1.5133689839572193,1.358288770053476,1.732620320855615
Poland,POL,1.8166666666666667,1.6083333333333334,1.5791666666666666,1.5208333333333333,1.5291666666666666,1.8083333333333333,1.8458333333333334,1.6916666666666667,1.3,2.1791666666666667,1.1958333333333333
Portugal,PRT,1.5291970802919708,1.1586715867158672,1.3686131386861313,1.1875,1.4124087591240877,1.6277372262773722,1.424908424908425,1.5437956204379562,1.2919708029197081,1.3296703296703296,1.0255474452554745
Qatar,QAT,2.3850267379679146,2.1122994652406417,2.267379679144385,2.3315508021390374,2.192513368983957,2.2032085561497325,2.229946524064171,2.192513368983957,2.0267379679144386,1.9732620320855614,2.304812834224599
Romania,ROU,1.727810650887574,1.9702380952380953,1.4733727810650887,1.4733727810650887,1.3592814371257484,1.9349112426035502,1.6726190476190477,1.6627218934911243,1.1726190476190477,0.7544910179640718,1.727810650887574
Russian Federation,RUS,1.8866396761133604,1.8987854251012146,1.6761133603238867,1.4817813765182186,1.7449392712550607,2.0080645161290325,1.9190283400809716,1.902834008097166,1.3522267206477734,2.032388663967611,2.0080971659919027
Saudi Arabia,SAU,1.722943722943723,1.4279475982532752,1.5434782608695652,1.5064935064935066,1.4521739130434783,2.121739130434783,1.878787878787879,1.7641921397379912,1.4869565217391305,1.4632034632034632,1.4632034632034632
Serbia,SRB,1.5621621621621622,1.6864864864864866,1.3891891891891892,1.4378378378378378,1.4648648648648648,1.8,1.962162162162162,1.8702702702702703,1.3027027027027027,1.6594594594594594,1.4972972972972973
Singapore,SGP,2.515151515151515,2.296969696969697,2.466666666666667,2.4363636363636365,2.418181818181818,2.0545454545454547,1.8727272727272728,2.231707317073171,2.290909090909091,1.5670731707317074,2.2865853658536586
Slovak Republic,SVK,1.8212290502793296,1.57703081232493,1.7206703910614525,1.5630252100840336,1.8291316526610644,1.946927374301676,1.8854748603351956,1.8826815642458101,1.4005602240896358,1.7254901960784315,1.3156424581005586
Slovenia,SVN,2.2082018927444795,2.186119873817035,2.132492113564669,1.971608832807571,2.0410094637223977,1.8170347003154574,2.0599369085173502,2.0189274447949526,1.8517350157728707,2.2082018927444795,1.6971608832807572
Spain,ESP,1.6483412322274882,1.6003805899143673,1.459125475285171,1.5061728395061729,1.603988603988604,1.5533333333333332,1.2440645773979107,1.6161137440758293,1.5380952380952382,0.6628571428571428,1.3361823361823362
Sweden,SWE,2.444954128440367,2.334862385321101,2.261467889908257,2.3990825688073394,2.2211981566820276,1.8027522935779816,1.9678899082568808,2.05045871559633,2.1009174311926606,2.243119266055046,2.05045871559633
Switzerland,CHE,2.0309734513274336,1.9115044247787611,1.9115044247787611,2.1814159292035398,2.2876106194690267,1.7787610619469028,1.9380530973451326,1.8933333333333333,1.5530973451327434,1.6106194690265487,2.0
Tatarstan (RUS),THA,1.9205020920502092,1.8326359832635983,1.594142259414226,1.3347280334728033,1.5564853556485356,1.9665271966527196,1.8786610878661087,1.8619246861924685,1.3598326359832635,1.8702928870292888,1.8410041841004183
Thailand,TUR,1.9,1.8448275862068966,1.6620689655172414,1.7206896551724138,1.7413793103448276,2.0517241379310347,1.8,1.8793103448275863,1.9551724137931035,2.1310344827586207,1.793103448275862
Turkey,UKR,2.1129032258064515,2.064516129032258,2.021505376344086,2.0806451612903225,1.8279569892473118,1.8978494623655915,2.096774193548387,1.989247311827957,1.7903225806451613,2.295698924731183,1.3602150537634408
Ukraine,,1.3694779116465863,1.572,1.1330645161290323,1.18,1.1726907630522088,1.8875502008032128,1.828,1.884,1.664,1.9758064516129032,1.285140562248996
United Arab Emirates,ARE,2.1621233859397417,2.0548340548340547,2.1734104046242773,2.19164265129683,2.156609195402299,2.133428981348637,2.1076040172166426,2.1120689655172415,2.0014367816091956,2.1077586206896552,2.1563845050215207
United Kingdom,GBR,1.650259067357513,1.650259067357513,1.639686684073107,1.5963541666666667,1.87012987012987,1.7116883116883117,1.5699481865284974,1.71875,1.7202072538860103,1.1884816753926701,1.7253886010362693
United States,USA,2.1486486486486487,2.12751677852349,2.1156462585034013,2.2013422818791946,2.1879194630872485,1.9324324324324325,2.0134228187919465,2.0134228187919465,1.9731543624161074,1.2281879194630871,1.7248322147651007
Uruguay,URY,1.3227513227513228,1.1534391534391535,1.1957671957671958,1.1587301587301588,1.2645502645502646,1.4761904761904763,1.312169312169312,1.380952380952381,1.417989417989418,0.9153439153439153,1.5767195767195767
Vietnam,,1.8874172185430464,1.9337748344370862,1.695364238410596,1.6866666666666668,1.78,1.8410596026490067,1.7880794701986755,1.58,1.42,1.185430463576159,1.6556291390728477
