,group,variable,value
324,A,B-S-J-Z (China),19
325,A,Baku (Azerbaijan),1
326,A,Belarus,83
327,A,Belgium,4
328,A,Bosnia and Herzegovina,33
329,A,Brazil,40
330,A,Brunei Darussalam,6
331,A,Bulgaria,9
332,A,Canada,133
333,A,Chile,10
334,A,Chinese Taipei,7
335,A,Colombia,47
336,A,Costa Rica,48
337,A,Croatia,2
338,A,Czech Republic,32
339,A,Denmark,44
340,A,Dominican Republic,41
341,A,Estonia,81
342,A,Finland,18
343,A,France,12
344,A,Georgia,159
345,A,Germany,2
346,A,Greece,36
347,A,Hong Kong,2
348,A,Hungary,29
349,A,Iceland,59
350,A,Indonesia,68
351,A,Ireland,29
352,A,Israel,28
353,A,Italy,24
354,A,Japan,0
355,A,Jordan,29
356,A,Kazakhstan,245
357,A,Korea,4
358,A,Kosovo,77
359,A,Latvia,88
360,A,Lebanon,69
361,A,Lithuania,122
362,A,Luxembourg,0
363,A,Macao,1
364,A,Malaysia,38
365,A,Malta,5
366,A,Mexico,60
367,A,Moldova,130
368,A,Montenegro,1
369,A,Morocco,39
370,A,Moscow Region (RUS),8
371,A,Netherlands,3
372,A,New Zealand,8
373,A,North Macedonia,2
374,A,Norway,0
375,A,Panama,35
376,A,Peru,127
377,A,Philippines,13
378,A,Poland,76
379,A,Portugal,11
380,A,Qatar,15
381,A,Romania,20
382,A,Russian Federation,59
383,A,Saudi Arabia,27
384,A,Serbia,2
385,A,Singapore,0
386,A,Slovak Republic,95
387,A,Slovenia,27
388,A,Spain,60
389,A,Sweden,0
390,A,Switzerland,23
391,A,Tatarstan (RUS),92
392,A,Thailand,71
393,A,Turkey,3
394,A,Ukraine,86
395,A,United Arab Emirates,72
396,A,United Kingdom,31
397,A,United States,11
398,A,Uruguay,14
399,A,Vietnam,65
